probe	gene	location	loc_category
cg00060882	EIF2S3	TSS1500	Promoter
cg00061059	TECR	Body	Body
cg00061629	ALX4	Body	Body
cg00062776	TULP2	TSS1500	Promoter
cg00063144	KRT31	TSS1500	Promoter
cg00065385	ACTL7A	TSS1500	Promoter
cg00065408	CACNB3	TSS200	Promoter
cg00066153	ACRV1	1stExon;5'UTR	Promoter
cg00066816	IL12B	TSS1500	Promoter
cg00067471	ATP5D	TSS1500	Promoter
cg00069261	CDR2	TSS1500	Promoter
cg00071250	FASLG	1stExon;5'UTR	Promoter
cg00071998	MSH5	5'UTR	Promoter
cg00072216	MXD4	Body	Body
cg00075967	STRA6	1stExon;TSS200;5'UTR	Promoter
cg00076645	UBTD2	TSS1500	Promoter
cg00077877	ASAP1	TSS1500	Promoter
cg00078194	MDK	TSS1500;5'UTR	Promoter
cg00078867	WAS	Body	Body
cg00079563	ARFGAP3	TSS200	Promoter
cg00080012	EED	TSS200	Promoter
cg00081935	TSPAN9	5'UTR	Promoter
cg00081975	ABCC3	Body	Body
cg00083937	MAPK8IP2	Body	Body
cg00084687	GATAD1	1stExon;5'UTR	Promoter
cg00089071	PCGF2	TSS1500	Promoter
cg00090147	GATA4	5'UTR	Promoter
cg00091693	KRT20	TSS200	Promoter
cg00094319	PABPC3	1stExon	Promoter
cg00094851	KIF3C	TSS1500	Promoter
cg00095526	CACNA1S	1stExon;5'UTR	Promoter
cg00095674	PLEKHO1	Body	Body
cg00096922	DLX5	TSS200	Promoter
cg00097536	LOC100129726;ZFP36L2	Body;TSS1500	Promoter
cg00098239	PNPLA6	TSS1500;5'UTR;1stExon	Promoter
cg00101227	MPZ	TSS1500	Promoter
cg00103783	MPDU1	Body;1stExon	Promoter
cg00105253	NUDT14	Body	Body
cg00105470	C1orf35	1stExon	Promoter
cg00107187	TMEM179	1stExon	Promoter
cg00107632	PGM2	Body	Body
cg00108454	C1QA	5'UTR	Promoter
cg00109274	DGKH	1stExon	Promoter
cg00112517	PPP1R1B	TSS200	Promoter
cg00113951	CABP1	TSS1500	Promoter
cg00115714	AMD1	1stExon;5'UTR	Promoter
cg00116234	ADAMTSL1	1stExon	Promoter
cg00116838	FLJ40125;RTN2	TSS1500;1stExon	Promoter
cg00117172	RUNX3	Body	Body
cg00119079	LAMP3	Body	Body
cg00121158	KDM4C	Body;1stExon;5'UTR	Promoter
cg00121640	ASTN2	Body	Body
cg00121904	MAOB	TSS200	Promoter
cg00123035	RFX5	5'UTR	Promoter
cg00126034	WNT3	TSS200	Promoter
cg00126698	BTK	5'UTR	Promoter
cg00128197	HSD17B10	TSS200	Promoter
cg00128560	TIGD7	TSS1500	Promoter
cg00128654	C14orf102	Body;5'UTR	Promoter
cg00128877	MKNK1	TSS1500	Promoter
cg00129774	CDK2;SILV	TSS1500;TSS200	Promoter
cg00131121	POLR2J	TSS1500	Promoter
cg00131557	DNAJC15	TSS1500	Promoter
cg00132141	CTNNA3	TSS1500	Promoter
cg00133909	CD276	5'UTR	Promoter
cg00134539	UBASH3A	1stExon	Promoter
cg00134787	MYH1	Body	Body
cg00135056	C3orf37	TSS1500	Promoter
cg00136105	GNPTAB	TSS1500	Promoter
cg00136477	C1QC	5'UTR	Promoter
cg00138126	PMEPA1	TSS1500;TSS200	Promoter
cg00141162	HCLS1	1stExon;5'UTR	Promoter
cg00141845	UPRT	TSS1500	Promoter
cg00143376	NMUR1	Body	Body
cg00143998	HIST3H2BB;HIST3H2A	TSS1500;1stExon	Promoter
cg00145118	GNPDA1	TSS1500	Promoter
cg00145348	APEX2	1stExon	Promoter
cg00146096	FANCF	1stExon	Promoter
cg00149659	C3orf10	1stExon;5'UTR	Promoter
cg00149976	MGLL	1stExon;5'UTR	Promoter
cg00151234	PGK1	TSS1500	Promoter
cg00151607	TRAPPC2L;GALNS	1stExon;TSS200;5'UTR	Promoter
cg00152644	SPRR2E	TSS1500	Promoter
cg00155167	VPS13B	5'UTR	Promoter
cg00155485	MED13L	Body	Body
cg00155609	PRDX2	5'UTR	Promoter
cg00156216	APLP2	Body;1stExon;5'UTR	Promoter
cg00156744	STK10	TSS1500	Promoter
cg00158308	OXGR1	5'UTR	Promoter
cg00160914	DDX20;C1orf183	Body;TSS1500	Promoter
cg00162401	GSTA4	5'UTR	Promoter
cg00162643	DDX58	TSS200	Promoter
cg00164898	MAPK11	TSS1500	Promoter
cg00165981	POLK;COL4A3BP	TSS1500;5'UTR	Promoter
cg00167504	BLVRA	5'UTR	Promoter
cg00168082	ABL1	TSS200	Promoter
cg00168785	WDSUB1	5'UTR	Promoter
cg00168942	GJD4	1stExon;5'UTR	Promoter
cg00171126	WRB	Body	Body
cg00171161	NUDT9	TSS200	Promoter
cg00174500	CMTM5	1stExon	Promoter
cg00174901	PALM	Body	Body
cg00176210	ANK1	Body	Body
cg00176879	VPS16;PTPRA	Body;TSS1500	Promoter
cg00177013	ZGPAT;ARFRP1	TSS1500;5'UTR	Promoter
cg00177698	PNPO	TSS200	Promoter
cg00177923	LEPROTL1	TSS1500	Promoter
cg00179446	UPF3B	1stExon;5'UTR	Promoter
cg00180012	LACE1	TSS200	Promoter
cg00180631	MTM1	TSS1500	Promoter
cg00183916	HS3ST3B1	1stExon	Promoter
cg00184884	SFI1	1stExon;5'UTR	Promoter
cg00184893	ALOXE3	Body;5'UTR	Promoter
cg00185839	LRDD	TSS1500;5'UTR	Promoter
cg00186141	PODXL	TSS1500	Promoter
cg00186701	TSPYL5	TSS1500	Promoter
cg00186954	C11orf17;ST5	Body;TSS1500	Promoter
cg00187380	HOXC5;HOXC4	Body;5'UTR	Promoter
cg00191052	CHST7	TSS1500	Promoter
cg00197381	FAM53C	TSS200;5'UTR	Promoter
cg00197641	MRPL52	Body;5'UTR	Promoter
cg00199549	MCM5	TSS1500	Promoter
cg00200063	USP32	TSS1500	Promoter
cg00202702	C11orf70	TSS200	Promoter
cg00202711	HTR2C	TSS200	Promoter
cg00206052	POLL;RP11-529I10.4	1stExon;TSS200	Promoter
cg00207534	KIAA0174	5'UTR	Promoter
cg00208830	LAMC2	TSS1500	Promoter
cg00209066	BRD1	TSS1500	Promoter
cg00209951	DENND2C	TSS200	Promoter
cg00210842	IKBIP;APAF1	TSS1500;5'UTR;1stExon	Promoter
cg00211661	ARAP1	Body;TSS1500	Promoter
cg00213044	KRT6A	1stExon	Promoter
cg00213331	SIL1	Body	Body
cg00214855	CCDC90A	Body	Body
cg00215066	MYO9B	5'UTR	Promoter
cg00216361	GAP43	1stExon;5'UTR	Promoter
cg00216758	C11orf35;RASSF7	Body;TSS1500	Promoter
cg00217795	DIO2	Body;1stExon	Promoter
cg00223186	ACBD6	TSS200	Promoter
cg00223950	UBR4	Body	Body
cg00224234	RNMTL1;GLOD4	1stExon;TSS200	Promoter
cg00224508	MLLT11;CDC42SE1	TSS1500;5'UTR	Promoter
cg00226923	FGD2	TSS1500	Promoter
cg00228799	ENDOG	TSS200	Promoter
cg00229387	TJAP1	Body;5'UTR	Promoter
cg00230271	TBCK;AIMP1	TSS1500;1stExon;5'UTR	Promoter
cg00230368	IGF2R	TSS1500	Promoter
cg00230502	CCDC60	TSS200	Promoter
cg00230685	SCML1	5'UTR	Promoter
cg00231140	ACAA2;SCARNA17	Body;TSS1500	Promoter
cg00231644	TUBB2A	TSS1500	Promoter
cg00231920	VPS16;FAM113A	1stExon;5'UTR;TSS200	Promoter
cg00233307	MAP4K1;EIF3K	TSS1500	Promoter
cg00234616	TLX2	TSS1500	Promoter
cg00236832	RARA	1stExon;5'UTR	Promoter
cg00237010	NINJ2	TSS200	Promoter
cg00239071	C14orf68	1stExon;5'UTR	Promoter
cg00239685	GORASP1;TTC21A	Body;TSS1500	Promoter
cg00240432	TWIST1	TSS200	Promoter
cg00241355	GAPDH	TSS200	Promoter
cg00243313	IRX4	TSS1500	Promoter
cg00247489	CR2	Body	Body
cg00250430	DMRT2	5'UTR	Promoter
cg00253200	C3orf59	TSS200	Promoter
cg00256074	MYLPF	1stExon;5'UTR	Promoter
cg00256166	KLHL25	TSS1500	Promoter
cg00256281	PMM1	Body	Body
cg00259755	PWWP2B	TSS1500	Promoter
cg00261552	CREBL2	1stExon;5'UTR	Promoter
cg00261781	MATN3	TSS200	Promoter
cg00262415	PUSL1;ACAP3	Body;TSS1500	Promoter
cg00263760	VAX1	1stExon	Promoter
cg00265415	B3GALNT2	1stExon	Promoter
cg00265490	MTDH	TSS1500	Promoter
cg00268009	ADH5	TSS1500	Promoter
cg00268338	HECTD2;LOC100188947	Body;TSS1500	Promoter
cg00269115	ZNF436;C1orf213	TSS1500;1stExon;5'UTR	Promoter
cg00273068	EMILIN3	TSS1500	Promoter
cg00273124	NHP2	TSS1500	Promoter
cg00274399	FGF9	1stExon;5'UTR	Promoter
cg00275232	ZNF296	1stExon	Promoter
cg00276797	SLK	TSS1500	Promoter
cg00278366	RAD9B;VPS29	Body;TSS1500	Promoter
cg00279797	AMMECR1	TSS1500;5'UTR	Promoter
cg00282347	CHD5	TSS1500	Promoter
cg00282683	UBE3C	1stExon	Promoter
cg00283535	ANXA13	1stExon	Promoter
cg00288562	TRA2A	1stExon;5'UTR	Promoter
cg00290028	RFXAP	TSS1500	Promoter
cg00290506	CNIH3	1stExon;5'UTR	Promoter
cg00291877	SNRPA1	TSS1500	Promoter
cg00292662	LGALS1	TSS1500	Promoter
cg00292971	FAM131B	TSS1500	Promoter
cg00293409	LRRC33	1stExon;5'UTR	Promoter
cg00295206	RAB7A	TSS200	Promoter
cg00295325	ABCB11	TSS200	Promoter
cg00297584	NCRNA00173	TSS1500;TSS200	Promoter
cg00298357	IL17B	1stExon;5'UTR	Promoter
cg00302793	PPP3CA	1stExon;5'UTR	Promoter
cg00303548	HS6ST3	TSS1500	Promoter
cg00307685	BRDT	5'UTR	Promoter
cg00308133	GAMT	Body	Body
cg00308665	HTR2A	Body	Body
cg00309056	STARD3NL	5'UTR	Promoter
cg00309204	C17orf61	TSS200	Promoter
cg00311768	TSTA3	Body	Body
cg00312919	STARD3NL	TSS1500	Promoter
cg00314943	ALPPL2	TSS1500	Promoter
cg00315936	SND1	Body	Body
cg00317680	PTDSS1;MTERFD1	TSS1500;TSS200	Promoter
cg00318573	CHRNA4	TSS1500	Promoter
cg00318865	ACVR1B	Body	Body
cg00319761	PKMYT1	1stExon;5'UTR	Promoter
cg00320243	RAB3A	5'UTR	Promoter
cg00321065	RLF	1stExon;5'UTR	Promoter
cg00321478	CRB1	Body	Body
cg00323915	GIMAP4	5'UTR	Promoter
cg00324733	NUCB2	1stExon;5'UTR	Promoter
cg00327185	DLAT	Body	Body
cg00328227	C1orf59	TSS1500;TSS200	Promoter
cg00331237	CSRP2	TSS1500	Promoter
cg00331433	SYAP1	Body;1stExon;5'UTR	Promoter
cg00332153	BANK1	1stExon;5'UTR	Promoter
cg00332745	NOL3	Body	Body
cg00333226	VWC2	5'UTR	Promoter
cg00333528	GABRR1	1stExon;5'UTR	Promoter
cg00334507	PRRT2	Body	Body
cg00335286	MC2R	TSS1500	Promoter
cg00336605	NR1H2	TSS1500	Promoter
cg00338702	CHFR	Body	Body
cg00338893	MRPS33	TSS200;5'UTR	Promoter
cg00342530	GARNL3	1stExon;5'UTR	Promoter
cg00343092	TSPO	5'UTR	Promoter
cg00344358	GDF11	TSS1500	Promoter
cg00344372	HGFAC	TSS200	Promoter
cg00344709	POTED	TSS1500	Promoter
cg00346145	RPL34;LOC285456	Body;TSS200	Promoter
cg00347904	SCUBE3	Body	Body
cg00350296	CD248	TSS1500	Promoter
cg00350478	FRMD1	TSS200	Promoter
cg00350702	ERGIC3	1stExon	Promoter
cg00351011	LASS4	5'UTR	Promoter
cg00354258	ZIM2	Body	Body
cg00354572	ACSS3	TSS1500	Promoter
cg00355802	DUSP4	TSS1500	Promoter
cg00359325	USP4	1stExon	Promoter
cg00359973	SMC1A;RIBC1	TSS1500;1stExon;5'UTR	Promoter
cg00363813	IFFO1	1stExon	Promoter
cg00364814	R3HDM2	Body	Body
cg00367281	CHRNB3	TSS200	Promoter
cg00367438	TMUB1	TSS1500;TSS200	Promoter
cg00368022	C5orf22;RNASEN	Body;TSS1500	Promoter
cg00368415	SNX27	TSS1500	Promoter
cg00371195	F2	TSS1500	Promoter
cg00374717	ARSG	5'UTR	Promoter
cg00375964	ABCE1;ANAPC10	5'UTR;TSS200	Promoter
cg00376639	ZNF581	5'UTR	Promoter
cg00380464	LTV1	Body	Body
cg00381076	C18orf54	TSS1500	Promoter
cg00382515	MRPL44	1stExon	Promoter
cg00386408	TGFBI	Body	Body
cg00387170	FOXP4	TSS200	Promoter
cg00392257	ISG20L2	1stExon	Promoter
cg00393585	TRIM61;C4orf39	Body;TSS200	Promoter
cg00394658	PTPRJ	TSS1500	Promoter
cg00396163	DNAH6	1stExon;5'UTR	Promoter
cg00396894	C2orf53	TSS200	Promoter
cg00397740	PPOX	1stExon;5'UTR	Promoter
cg00398048	AGA	TSS1500	Promoter
cg00399483	DCC	Body	Body
cg00400263	PPP1R3D;C20orf177	TSS1500;1stExon	Promoter
cg00402366	LRRIQ3;TNNI3K;FPGT	1stExon;5'UTR;TSS200	Promoter
cg00404599	TSC22D3	1stExon	Promoter
cg00405070	ERP29;TMEM116	TSS1500;5'UTR	Promoter
cg00405568	DCAKD;NMT1	Body;TSS1500	Promoter
cg00406844	RFPL3	1stExon;5'UTR	Promoter
cg00407150	HHATL	TSS1500;5'UTR	Promoter
cg00410419	COMMD6	Body	Body
cg00410898	STC1	TSS200	Promoter
cg00411097	TMEM184A	1stExon;5'UTR	Promoter
cg00412772	YIF1B;C19orf33	1stExon;3'UTR;5'UTR	Promoter
cg00412805	KBTBD5	TSS200	Promoter
cg00415978	SYNPO2	TSS200	Promoter
cg00415993	F2RL2;IQGAP2	Body;1stExon;5'UTR	Promoter
cg00417297	ZNF619	Body;1stExon;5'UTR	Promoter
cg00418150	ALX4	Body	Body
cg00419564	S100A6	TSS200	Promoter
cg00420568	SHC3	TSS1500	Promoter
cg00420715	VPS13B	TSS200	Promoter
cg00420929	PGPEP1	TSS1500	Promoter
cg00422913	C17orf91;WDR81	Body;TSS1500	Promoter
cg00424946	SNTB2	1stExon	Promoter
cg00425710	MT1A	1stExon	Promoter
cg00425792	PEX12	1stExon;5'UTR	Promoter
cg00426056	CUTA	1stExon;5'UTR	Promoter
cg00426498	MYO18A	TSS1500	Promoter
cg00426963	KIF27	5'UTR	Promoter
cg00429618	ZNF322B	TSS1500	Promoter
cg00430287	FRK	TSS1500	Promoter
cg00431050	ELOVL3	TSS1500	Promoter
cg00431549	MGP	TSS200	Promoter
cg00432979	SKA3;MRP63	Body;1stExon;5'UTR	Promoter
cg00433406	VWA5B1	TSS1500	Promoter
cg00434413	RENBP;NAA10	Body;TSS1500	Promoter
cg00435408	RSPRY1;FAM192A	TSS1500;5'UTR	Promoter
cg00436282	STATH	TSS200	Promoter
cg00436301	NT5DC1	TSS1500	Promoter
cg00436603	CYP2E1	TSS200	Promoter
cg00441382	STOML1	1stExon	Promoter
cg00443307	KLRG1	TSS1500	Promoter
cg00445824	ISYNA1	1stExon;TSS200;5'UTR	Promoter
cg00446235	TSTD1	Body	Body
cg00447208	TMC6;TMC8	TSS1500;5'UTR	Promoter
cg00448720	C1QTNF9	TSS1500	Promoter
cg00449941	SPAG5	1stExon;5'UTR	Promoter
cg00451635	EMP2	TSS1500	Promoter
cg00453193	TES	Body	Body
cg00453258	CALHM1	TSS1500	Promoter
cg00459975	INTS9;HMBOX1	TSS1500;5'UTR	Promoter
cg00461841	ATF7IP2	5'UTR	Promoter
cg00462311	NFATC4	Body;TSS200	Promoter
cg00462994	PYY;NAGS	TSS200	Promoter
cg00463202	ADPRHL1	1stExon	Promoter
cg00463577	C6orf150	1stExon;5'UTR	Promoter
cg00463848	KRT2	TSS200	Promoter
cg00464269	IFT20;TNFAIP1	TSS1500;1stExon;5'UTR	Promoter
cg00465284	LRRTM1;CTNNA2	Body;TSS1500	Promoter
cg00466249	SLC38A10	TSS1500	Promoter
cg00466544	C14orf101	TSS1500	Promoter
cg00468146	ID4	1stExon	Promoter
cg00469635	C2CD3;PPME1	TSS1500;1stExon	Promoter
cg00471562	WDR37	TSS1500	Promoter
cg00472814	ADAMTS1	1stExon;5'UTR	Promoter
cg00474004	IFNA14	1stExon;5'UTR	Promoter
cg00474209	DLL1	TSS1500	Promoter
cg00475955	C9orf114	1stExon	Promoter
cg00476580	ANP32E	Body;TSS1500	Promoter
cg00479269	C2orf29	Body	Body
cg00480115	FXYD3	5'UTR	Promoter
cg00480209	C17orf48;SCO1	TSS1500;1stExon	Promoter
cg00480356	SERINC4;C15orf63	TSS1500;1stExon	Promoter
cg00483154	DDX41	Body	Body
cg00485296	NME3	1stExon;5'UTR	Promoter
cg00485380	CBX3;HNRNPA2B1	TSS1500;TSS200	Promoter
cg00487159	SOCS1	5'UTR	Promoter
cg00488364	IL13RA2	TSS1500	Promoter
cg00488718	C4orf29;MFSD8	5'UTR	Promoter
cg00489401	FLT4	Body	Body
cg00491404	EPS8L3	TSS200	Promoter
cg00491839	PPP1R15A	TSS200	Promoter
cg00493400	STAT1	TSS200	Promoter
cg00495415	SP1	TSS1500;TSS200	Promoter
cg00495442	RALGAPB	TSS1500	Promoter
cg00496170	ATP6V1D;EIF2S1	TSS1500;TSS200	Promoter
cg00497084	PPEF1	1stExon;5'UTR	Promoter
cg00497251	RNPEPL1	5'UTR	Promoter
cg00498305	SLC18A2	TSS1500	Promoter
cg00498604	TLL1	TSS1500	Promoter
cg00499599	C21orf57;MCM3AP	TSS1500;5'UTR;1stExon	Promoter
cg00499822	CXCL12	TSS1500	Promoter
cg00500400	EP300;MIR1281	TSS1500	Promoter
cg00502442	ZDHHC14	TSS1500	Promoter
cg00503458	KIAA0907	TSS1500	Promoter
cg00503840	DLX5	Body	Body
cg00504595	TNFRSF19	1stExon;5'UTR	Promoter
cg00509616	GCOM1	Body	Body
cg00510787	C6orf211;RMND1	TSS1500;5'UTR	Promoter
cg00510956	KHDRBS1	TSS1500	Promoter
cg00511475	CDH15	Body	Body
cg00512279	SLC18A2	5'UTR	Promoter
cg00512374	IGFBP4	1stExon;5'UTR	Promoter
cg00513220	MOSC2	1stExon	Promoter
cg00513467	KLHL9	TSS200	Promoter
cg00514407	SERPINE2	TSS1500	Promoter
cg00514895	CPZ	TSS200	Promoter
cg00515905	EPS8L3	1stExon;5'UTR	Promoter
cg00516481	PDE9A	TSS1500	Promoter
cg00518989	LIMK2	Body	Body
cg00519208	EVI5	TSS1500	Promoter
cg00519627	CORO7	TSS200	Promoter
cg00520135	TPM1	TSS1500	Promoter
cg00520708	C5orf24	TSS1500;TSS200	Promoter
cg00521434	GPR61	TSS1500	Promoter
cg00521598	MYCBP	TSS1500	Promoter
cg00522034	CBLB	1stExon;5'UTR	Promoter
cg00522316	KHSRP	TSS1500	Promoter
cg00524288	UPP1	TSS1500;5'UTR;1stExon	Promoter
cg00528052	KDM5B	1stExon	Promoter
cg00528967	STK24	Body	Body
cg00532335	LGI1	TSS1500	Promoter
cg00532890	PBX1	TSS200	Promoter
cg00534274	SLC7A11	1stExon;5'UTR	Promoter
cg00536175	GATA1	1stExon;5'UTR	Promoter
cg00537910	ATG9A;ABCB6	TSS1500;3'UTR	Promoter
cg00539322	SAG	1stExon;5'UTR	Promoter
cg00539716	FOXN2	1stExon;5'UTR	Promoter
cg00540544	CSRP1	1stExon;5'UTR	Promoter
cg00544557	DSCR10	Body	Body
cg00545573	TAOK3	5'UTR	Promoter
cg00546491	PDE1C	TSS200	Promoter
cg00546897	LOC284837	Body	Body
cg00547018	ALG1	TSS200	Promoter
cg00547789	RAB39B	1stExon;5'UTR	Promoter
cg00547829	TUBD1;RPS6KB1	TSS1500;1stExon;5'UTR	Promoter
cg00548060	NPL	5'UTR	Promoter
cg00548268	NPTX2	TSS1500	Promoter
cg00554250	NR1H3	Body;5'UTR	Promoter
cg00554682	ZNF804A	1stExon;5'UTR	Promoter
cg00554702	CHEK1	5'UTR	Promoter
cg00556408	TMPRSS6	TSS1500	Promoter
cg00557354	ARHGEF7	1stExon	Promoter
cg00559473	AAAS	TSS200	Promoter
cg00560119	STXBP1	TSS1500	Promoter
cg00563229	XKR8	TSS1500	Promoter
cg00563845	PXK	TSS1500	Promoter
cg00563926	TGFBR3	TSS1500	Promoter
cg00563932	PTGDS	TSS1500	Promoter
cg00564163	STEAP4	5'UTR	Promoter
cg00565075	MIR659;EIF3L	TSS1500	Promoter
cg00565688	TP73	TSS1500	Promoter
cg00566759	DSC2	1stExon;5'UTR	Promoter
cg00567479	FARP2	5'UTR	Promoter
cg00567749	VCAN	5'UTR	Promoter
cg00568128	C10orf118;MIR2110	1stExon;5'UTR;TSS200	Promoter
cg00568792	STT3A	TSS200	Promoter
cg00569620	ABHD10	TSS200	Promoter
cg00571634	WDR5B	1stExon;5'UTR	Promoter
cg00573606	COL6A3	1stExon;5'UTR	Promoter
cg00575744	HLA-DMB	1stExon;5'UTR	Promoter
cg00577464	SHH	1stExon	Promoter
cg00579393	REG1B	TSS1500	Promoter
cg00579402	FUT6	1stExon;5'UTR	Promoter
cg00581156	DIMT1L	Body	Body
cg00584022	KRAS	5'UTR	Promoter
cg00585790	LIMS1	1stExon;5'UTR	Promoter
cg00585846	ATP6V1G2;NFKBIL1	TSS1500;5'UTR;1stExon	Promoter
cg00586909	CDKAL1	TSS200	Promoter
cg00587613	GPR152	TSS200	Promoter
cg00592315	C14orf86;FAM181A	Body;TSS1500	Promoter
cg00594118	COBRA1	1stExon	Promoter
cg00594952	RIMS3	5'UTR	Promoter
cg00597076	MYO1C	TSS1500;1stExon;5'UTR	Promoter
cg00598858	CCDC151;PRKCSH	TSS1500;5'UTR;1stExon	Promoter
cg00600684	WDR11	TSS1500	Promoter
cg00601486	H1FNT	1stExon	Promoter
cg00602891	C17orf62	TSS200	Promoter
cg00605270	SMPDL3B	1stExon;5'UTR	Promoter
cg00609097	TESK2	TSS200	Promoter
cg00611397	GTPBP5	5'UTR	Promoter
cg00612467	HADH	1stExon;5'UTR	Promoter
cg00613255	INS-IGF2;INS	Body;5'UTR	Promoter
cg00615377	RBM9	Body;TSS200	Promoter
cg00615915	SERPINB8	1stExon;5'UTR	Promoter
cg00616129	STYK1	TSS200	Promoter
cg00616369	NCL	1stExon;5'UTR	Promoter
cg00617305	SHISA4	Body;1stExon;5'UTR	Promoter
cg00618396	VBP1	TSS200	Promoter
cg00619207	DENND2D	TSS200	Promoter
cg00620223	CENPF	5'UTR	Promoter
cg00620629	ZUFSP	1stExon;5'UTR	Promoter
cg00622552	ODF3L1	1stExon;5'UTR	Promoter
cg00622677	TSPAN5	Body	Body
cg00623593	DOCK1	Body	Body
cg00625425	KANK4	TSS1500	Promoter
cg00625653	WNT7A	Body	Body
cg00626119	SH2D2A;NTRK1	Body;TSS1500	Promoter
cg00626466	GNS	TSS1500	Promoter
cg00629217	LNX1	Body;TSS1500	Promoter
cg00630164	KCNQ4	1stExon	Promoter
cg00630249	CYB561D1	Body;1stExon	Promoter
cg00630583	PXMP2;POLE	TSS1500;1stExon	Promoter
cg00631230	VPS33A	1stExon	Promoter
cg00633969	DTX3L;PARP9	Body;TSS1500	Promoter
cg00635481	ZNF76	TSS1500	Promoter
cg00636639	RBM18;MRRF	5'UTR;TSS200	Promoter
cg00638514	OTOP3	Body	Body
cg00642303	ACAP2	Body	Body
cg00645579	MUPCDH;IRF7	TSS1500;3'UTR	Promoter
cg00645922	TMED7;TMED7-TICAM2	TSS1500	Promoter
cg00646140	ARSD	TSS200	Promoter
cg00646492	GSTO1	TSS1500	Promoter
cg00648153	SLC17A5	TSS1500	Promoter
cg00648883	EEF1DP3	Body	Body
cg00650762	EPHB2	1stExon;5'UTR	Promoter
cg00650876	YBX1	TSS200	Promoter
cg00651216	HSP90AB1	TSS1500	Promoter
cg00653387	PTN	1stExon;5'UTR	Promoter
cg00654814	MGAT5B	1stExon;5'UTR	Promoter
cg00655307	ESR1	TSS200;5'UTR	Promoter
cg00657095	PPARD	TSS1500	Promoter
cg00657582	CHD8	5'UTR	Promoter
cg00658007	RD3	1stExon;5'UTR	Promoter
cg00658626	CCDC63	5'UTR	Promoter
cg00659129	ASAP1	TSS1500	Promoter
cg00659953	FAM173A	TSS1500	Promoter
cg00660989	KLHL28;FAM179B	TSS1500;1stExon	Promoter
cg00661202	CHCHD4;TMEM43	1stExon;5'UTR;TSS200	Promoter
cg00662556	GALR1	Body	Body
cg00665395	TTLL4	TSS200	Promoter
cg00666446	ZNF670	TSS1500	Promoter
cg00666746	SYDE1	TSS1500	Promoter
cg00668685	SLC39A5	1stExon;5'UTR	Promoter
cg00669623	CDK11A;CDK11B	TSS200	Promoter
cg00669856	SPRY1	TSS200	Promoter
cg00671161	ALG11;ATP7B	TSS1500;TSS200	Promoter
cg00672638	ARHGAP26	TSS1500	Promoter
cg00673191	DOPEY2	5'UTR	Promoter
cg00676660	ADAMTS9	Body	Body
cg00677811	CCM2	Body	Body
cg00678539	MNS1	TSS1500	Promoter
cg00679556	TRIM31	5'UTR	Promoter
cg00679738	FAM89A	Body	Body
